player_name,team_initials,match_id,line_up,event,position,shirt_number
player_name,team_initials,match_id,line_up,event,position,shirt_number
FRED,BRA,53,,,,
TAISON,BRA,53,,,,
FERNANDINHO,BRA,53,,,,
FAGNER,BRA,53,,,,
NEYMAR,BRA,53,,G51',,
PHILIPPE COUTINHO,BRA,53,,,,
DOUGLAS COSTA,BRA,53,,,,
FILIPE LUIS,BRA,53,,,,
GABRIEL JESUS,BRA,53,,,,
MARQUINHOS,BRA,53,,,,
ROBERTO FIRMINO,BRA,53,,G88',,
WILLIAN,BRA,53,,,,
MIRANDA,BRA,53,,,,
DANILO,BRA,53,,,,
THIAGO SILVA,BRA,53,,,,
MARCELO,BRA,53,,,,
PAULINHO,BRA,53,,,,
PEDRO GEROMEL,BRA,53,,,,
CASEMIRO,BRA,53,,,,
RENATO AUGUSTO,BRA,53,,,,
EDERSON,BRA,53,,,GK,
ALISSON,BRA,53,,,GK,
CASSIO,BRA,53,,,GK,
AQUINO JAVIER,MEX,53,,,,
GUARDADO ANDRES,MEX,53,,,,
LOZANO HIRVING,MEX,53,,,,
DOS SANTOS JONATHAN,MEX,53,,,,
CORONA JESUS,MEX,53,,,,
FABIAN MARCO,MEX,53,,,,
DOS SANTOS GIOVANI,MEX,53,,,,
HERNANDEZ JAVIER,MEX,53,,,,
LAYUN MIGUEL,MEX,53,,,,
PERALTA ORIBE,MEX,53,,,,
ALVAREZ EDSON,MEX,53,,,,
GALLARDO JESUS,MEX,53,,,,
OCHOA GUILLERMO,MEX,53,,,GK,
MARQUEZ RAFAEL,MEX,53,,,,
REYES DIEGO,MEX,53,,,,
VELA CARLOS,MEX,53,,,,
JIMENEZ RAUL,MEX,53,,,,
HERRERA HECTOR,MEX,53,,,,
CORONA JOSE,MEX,53,,,GK,
AYALA HUGO,MEX,53,,,,
MORENO HECTOR,MEX,53,,,,
SALCEDO CARLOS,MEX,53,,,,
TALAVERA ALFREDO,MEX,53,,,GK,
player_name,team_initials,match_id,line_up,event,position,shirt_number
FRED,BRA,11,,,,
TAISON,BRA,11,,,,
FERNANDINHO,BRA,11,,,,
FAGNER,BRA,11,,,,
NEYMAR,BRA,11,,,,
PHILIPPE COUTINHO,BRA,11,,G20',,
DOUGLAS COSTA,BRA,11,,,,
FILIPE LUIS,BRA,11,,,,
GABRIEL JESUS,BRA,11,,,,
MARQUINHOS,BRA,11,,,,
ROBERTO FIRMINO,BRA,11,,,,
WILLIAN,BRA,11,,,,
MIRANDA,BRA,11,,,,
DANILO,BRA,11,,,,
THIAGO SILVA,BRA,11,,,,
MARCELO,BRA,11,,,,
PAULINHO,BRA,11,,,,
PEDRO GEROMEL,BRA,11,,,,
CASEMIRO,BRA,11,,,,
RENATO AUGUSTO,BRA,11,,,,
EDERSON,BRA,11,,,GK,
ALISSON,BRA,11,,,GK,
CASSIO,BRA,11,,,GK,
FERNANDES GELSON,SUI,11,,,,
FREULER REMO,SUI,11,,,,
GAVRANOVIC MARIO,SUI,11,,,,
MOUBANDJE FRANCOIS,SUI,11,,,,
LICHTSTEINER STEPHAN,SUI,11,,,,
ELVEDI NICO,SUI,11,,,,
DZEMAILI BLERIM,SUI,11,,,,
ZAKARIA DENIS,SUI,11,,,,
LANG MICHAEL,SUI,11,,,,
BEHRAMI VALON,SUI,11,,,,
DRMIC JOSIP,SUI,11,,,,
SHAQIRI XHERDAN,SUI,11,,,,
RODRIGUEZ RICARDO,SUI,11,,,,
ZUBER STEVEN,SUI,11,,G50',,
SOMMER YANN,SUI,11,,,GK,
XHAKA GRANIT,SUI,11,,,,
BUERKI ROMAN,SUI,11,,,GK,
SCHAER FABIAN,SUI,11,,,,
MVOGO YVON,SUI,11,,,GK,
AKANJI MANUEL,SUI,11,,,,
EMBOLO BREEL,SUI,11,,,,
SEFEROVIC HARIS,SUI,11,,,,
DJOUROU JOHAN,SUI,11,,,,
player_name,team_initials,match_id,line_up,event,position,shirt_number
QUINTERO JUAN,COL,76,,,,
MOJICA JOHAN,COL,76,,,,
LERMA JEFFERSON,COL,76,,,,
ARIAS SANTIAGO,COL,76,,,,
URIBE MATEUS,COL,76,,,,
FALCAO RADAMEL,COL,76,,,,
CUADRADO JUAN,COL,76,,,,
FABRA FRANK,COL,76,,,,
IZQUIERDO JOSE,COL,76,,,,
BARRIOS  WILMAR,COL,76,,,,
BORJA MIGUEL,COL,76,,,,
RODRIGUEZ JAMES,COL,76,,,,
BACCA CARLOS,COL,76,,,,
MURIEL LUIS,COL,76,,,,
OSPINA DAVID,COL,76,,,GK,
MURILLO OSCAR,COL,76,,,,
VARGAS CAMILO,COL,76,,,GK,
CUADRADO JOSE,COL,76,,,GK,
SANCHEZ DAVINSON,COL,76,,,,
ZAPATA CRISTIAN,COL,76,,,,
SANCHEZ CARLOS,COL,76,,,,
